,query_sku,rec_sku,price
670,207IMFLE,207IPSFM,429.0
671,207IMFLE,207IPFM,435.0
672,207IMFLE,SVTSRAD272U,417.0
673,207IMFLE,307IPLMY,640.0
674,207IMFLE,304IMX,243.0
675,207IMFLE,325SIMM,1265.0
676,207IMFLE,SHCP1B,214.5
677,207IMFLE,SVTS264,490.0
678,207IMFLE,305TSKTA,300.0
679,207IMFLE,312IPLM,1045.0
680,207IMFMS,206SFSUM,473.0
681,207IMFMS,206EFAML,236.25
682,207IMFMS,TMM15,20.8
683,207IMFMS,112TMMDSY,307.0
684,207IMFMS,208EFTABMY,258.0
685,207IMFMS,307IPLY,595.0
686,207IMFMS,307ESAY,304.0
687,207IMFMS,110RTSMA,213.0
688,207IMFMS,131TMPB,785.0
689,207IMFMS,208FRDHM,273.0
690,207IPFM,214SIMFMYA,396.0
691,207IPFM,212SIMFYA,379.0
692,207IPFM,214IMFMYA,266.0
693,207IPFM,PPC710BK,318.0
694,207IPFM,212IMFMSYA,272.0
695,207IPFM,SOEXM710,510.0
696,207IPFM,SOEXM8,41.0
697,207IPFM,IPF800B,70.25
698,207IPFM,EC-USB-C-3A,43.25
699,207IPFM,HSG319,53.5
700,207IPSFM,207IPFM,435.0
701,207IPSFM,106IPTMMA,358.0
702,207IPSFM,207IPSFM,429.0
703,207IPSFM,111TMUSMA,650.0
704,207IPSFM,307IPLMY,640.0
705,207IPSFM,106TMUSMA,359.0
706,207IPSFM,SHCP1B,214.5
707,207IPSFM,206FSUMA,403.0
708,207IPSFM,214SIMFMYA,396.0
709,207IPSFM,312IPLM,1045.0
710,208AFX,224SFFSMFR,690.0
711,208AFX,F80,142.0
712,208AFX,110TMDY,177.5
713,208AFX,S9706KRA,51.25
714,208AFX,211FY,246.0
715,208AFX,SOEXM8,41.0
716,208AFX,OEXM80B,39.75
717,208AFX,214IMFMYA,266.0
718,208AFX,110STMDY,284.0
719,208AFX,214SIMFMYA,396.0
720,208CCP,AC58E,11.4
721,208CCP,GA295,21.5
722,208CCP,OEXM6B,38.25
723,208CCP,GSAF1F,27.0
724,208CCP,GFAT1E,20.8
725,208CCP,A2A,22.5
726,208CCP,FBST338,43.25
727,208CCP,SGASA204CR,67.25
728,208CCP,HSG319,53.5
729,208CCP,PL400B,235.5
730,208EFAY,S9706KRA,51.25
731,208EFAY,112STMMY,355.0
732,208EFAY,212SFSMY,391.0
733,208EFAY,F80,142.0
734,208EFAY,FXK6,42.0
735,208EFAY,110TMDY,177.5
736,208EFAY,211SFSY,377.0
737,208EFAY,FXK3,34.25
738,208EFAY,212FSMY,260.0
739,208EFAY,SGASA204CR,67.25
740,208EFTABMY,213AFLEY,294.0
741,208EFTABMY,307IPLMY,640.0
742,208EFTABMY,210AFLEY,192.0
743,208EFTABMY,206EFABLM,257.5
744,208EFTABMY,131TMPB,785.0
745,208EFTABMY,ECUHD218,379.0
746,208EFTABMY,210EFTXRY,407.0
747,208EFTABMY,211EFAMY,420.0
748,208EFTABMY,206EFAML,236.25
749,208EFTABMY,110RTSMA,213.0
750,208EFTAMXSY,A50A,142.0
751,208EFTAMXSY,14V12,92.0
752,208EFTAMXSY,A36A,134.5
753,208EFTAMXSY,340SSDP,22.3
754,208EFTAMXSY,208CCP,50.5
755,208EFTAMXSY,2006IT,153.0
756,208EFTAMXSY,A159,55.5
757,208EFTAMXSY,A106,50.25
758,208EFTAMXSY,1412A,53.0
759,208EFTAMXSY,2420A,83.75
760,208EPIT,214SIMFMYA,396.0
761,208EPIT,AC58E,11.4
762,208EPIT,HSG319,53.5
763,208EPIT,SOEXM9,42.0
